title,Job Provider,Salary,Experience,Eligible nation,Company location,Workplace model,Advertisement Duration,Data Source
Human Resources Supervisor,baytonia,"$500 - $1,000",Mid career,International,Jeddah,OnSite,Yesterday,Bayt.com
أخصائي تصوير ومونتاج (طبي – جلدية وتجميل),mmc,"$1,500 - $2,000",Mid career,International,Medina,OnSite,Yesterday,Bayt.com
Full Stack Developer,serfix technology,N/A,Mid career,International,Ar-Rass,OnSite,Yesterday,Bayt.com
Electrical Project Manager,Middle East Technical Solutions Co.,N/A,Management,International,Altaif,OnSite,Yesterday,Bayt.com
Project Site Manager,Middle East Technical Solutions Co.,N/A,N/A,International,Mecca,OnSite,Yesterday,Bayt.com
ادارة متجر الكتروني - تسويق,حمصة شغف,N/A,Mid career,International,Saudi Arabia,OnSite,Yesterday,Bayt.com
Sales Person,Tastyfoodcorporation,N/A,Mid career,International,Jeddah,OnSite,Yesterday,Bayt.com
Regional Sales Manager,JW International,N/A,Mid career,International,Dammam,OnSite,Yesterday,Bayt.com
مهندس مدني,Rokn,N/A,Mid career,International,Ar Rabi,OnSite,Yesterday,Bayt.com
مهندس سلامه موقع,Rokn,N/A,Entry level,International,Ar Rabi,OnSite,Yesterday,Bayt.com
Scaffolding Supervisor (ARAMCO Certified),Global Workforce Solutions,N/A,N/A,International,Jubail,OnSite,Yesterday,Bayt.com
مندوب مبيعات جملة Salesman Professional,Executive Chair,"$500 - $1,000",Mid career·5-15 ,International,Al Muruj,,Yesterday,Bayt.com
Sales and Operations Associate,Yellow Ball International,N/A,Entry level,International,Al Arid,OnSite,Yesterday,Bayt.com
مسؤول بناء شراكات وتسويق عقاري – عقارات (عن بُعد),Ana Luxury,$0 - $500,Mid career,International,Riyadh,,Yesterday,Bayt.com
وسيط عقارات,شركة يدير الاملاك العقارية,"$500 - $1,000",Management·2-5 ,International,Riyadh,,Yesterday,Bayt.com
Administrative Manager,Northern Mountains Contracting CO,"$2,000 - $3,000",Management,International,Al Andalus,OnSite,Yesterday,Bayt.com
سكرتيرة تنفيذية,شركة الكو بيلدينج سيستمز,"$500 - $1,000",Mid career·1-3 ,International,Al Marwah,OnSite,Yesterday,Bayt.com
مصمم جرافيك,LAVALLEE,N/A,N/A,International,Jeddah,OnSite,Yesterday,Bayt.com
Barista,Chimney Cake,"$2,000 - $3,000",Entry level·1-3 ,International,Dammam,OnSite,Yesterday,Bayt.com
مصور فوتوغرافي,Aaa.123456,"$1,000 - $1,500",Senior executive,International,Al Mansurah,OnSite,Yesterday,Bayt.com
مصممة جرافيك,مجموعة البدر الطبية,N/A,Entry level,Saudi nationals,Mecca,OnSite,Yesterday,Bayt.com
امين مستودع,فن سوار,"$500 - $1,000",Mid career·1-2 ,International,Riyadh,OnSite,Yesterday,Bayt.com
مدير حسابات العملاء,steeco,N/A,Management·10-19 ,International,Al Majmaah,OnSite,2 days ago,Bayt.com
Technology Manager-IT,Sofomation FZ,"$7,000 - $8,000",Management·14-20 ,Saudi nationals,Dammam,OnSite,3 days ago,Bayt.com
Back Office Key Account Manager,Ejadah Management Consultancy - Ema Partners,N/A,N/A,International,Riyadh,OnSite,4 days ago,Bayt.com
Sales Development Representatives (SDR) Team Leader,Ejadah Management Consultancy - Ema Partners,N/A,N/A,International,Riyadh,OnSite,4 days ago,Bayt.com
Sales Manager,Ejadah Management Consultancy - Ema Partners,N/A,N/A,International,Riyadh,OnSite,4 days ago,Bayt.com
Sales Executive,Biancanera Fashion Group,N/A,N/A,International,Riyadh,OnSite,4 days ago,Bayt.com
Principal Python Engineer,Ejadah Management Consultancy - Ema Partners,N/A,N/A,International,Riyadh,OnSite,4 days ago,Bayt.com
Customer Service Cashier,Triapex,N/A,Entry level,Saudi nationals,As Sifarat,OnSite,4 days ago,Bayt.com
Channel Partnership manager,Ejadah Management Consultancy - Ema Partners,N/A,N/A,International,Riyadh,OnSite,4 days ago,Bayt.com
أخصائي تخطيط استراتيجي أول,Research and Consulting Institute,N/A,N/A,International,Riyadh,OnSite,4 days ago,Bayt.com
محلل بيانات أول,Research and Consulting Institute,N/A,N/A,International,Riyadh,OnSite,4 days ago,Bayt.com
أخصائي تخطيط استراتيجي,Research and Consulting Institute,N/A,N/A,International,Riyadh,OnSite,4 days ago,Bayt.com
أخصائي تقارير أول,Research and Consulting Institute,N/A,N/A,International,Riyadh,OnSite,4 days ago,Bayt.com
Pumps Technician,SSCL,N/A,N/A,International,Ar-Rawdha,OnSite,4 days ago,Bayt.com
Interior Design Engineer-مهندس تصميم داخلي,Atheeb Intergraph Saudi Company,N/A,N/A,Saudi nationals,Riyadh,OnSite,4 days ago,Bayt.com
Accounting Manager,Herfy Food Services Co. Ltd.,N/A,8-May,International,Riyadh,OnSite,4 days ago,Bayt.com
موظف استقبال,Business Professional Services,"$1,000 - $1,500",Entry level,Saudi nationals,Manfuhah,OnSite,4 days ago,Bayt.com
Procurement Supervisor,Adeem Trading Est.,N/A,N/A,International,Industrial Area-Kharj Road,OnSite,4 days ago,Bayt.com
Project Manager,First Access Co,N/A,10-May,International,Riyadh,OnSite,4 days ago,Bayt.com
مدير مصنع خرسانة وجودة,شركة الوجيه لمواد البناء,N/A,Management,International,Abha,OnSite,4 days ago,Bayt.com
مندوب مبيعات (نسخة),شركة الوجيه لمواد البناء,"$500 - $1,000",Mid career·0-5 ,International,Abha,OnSite,4 days ago,Bayt.com
Network Technician,Jeraisy Computer & Comm. Services,N/A,Fresh graduate,Saudi nationals,Riyadh,OnSite,4 days ago,Bayt.com
مساعد مدير فئة (FMCG – الفواكه والخضروات),Mohammed Abdallah Sharbatly CO.LTD,"$1,500 - $2,000",Fresh graduate,International,As-Safa,OnSite,4 days ago,Bayt.com
Product Delivery Manager,Bayt.com,N/A,Mid career,International,Riyadh,OnSite,4 days ago,Bayt.com
Cost Control Engineer,N/A,N/A,N/A,International,Jeddah,OnSite,4 days ago,Bayt.com
مؤجر سيارات,N/A,"$4,000 - $5,000",N/A,Saudi nationals,Riyadh,OnSite,4 days ago,Bayt.com
"Director, Consult Partner - Energy & Industrial",kyndryl,N/A,Director/Head,International,Riyadh,OnSite,4 days ago,Bayt.com
BIM Manager,N/A,N/A,N/A,Saudi nationals,Eastern Province,OnSite,5 days ago,Bayt.com
Civil 3D coordinator,N/A,N/A,N/A,International,Eastern Province,OnSite,5 days ago,Bayt.com
Financial Internal Auditor,Alhajry overseas,N/A,Entry level,International,Khobar,OnSite,5 days ago,Bayt.com
Workshop Supervisor,Haji Husein Alireza & Co. Ltd.,N/A,Mid career,Saudi nationals,Riyadh,OnSite,5 days ago,Bayt.com
Marine Superintendent - Kanoo Shipping,Yusuf Bin Ahmed Kanoo Group Of Companies - Saudi Arabia,N/A,N/A,International,Ras Tanura,OnSite,5 days ago,Bayt.com
"Manager - Quality, Claims & HSSE (Kanoo Shipping)",Yusuf Bin Ahmed Kanoo Group Of Companies - Saudi Arabia,N/A,N/A,International,Dammam,OnSite,5 days ago,Bayt.com
Leasing Supervisor,Yusuf Bin Ahmed Kanoo Group Of Companies - Saudi Arabia,N/A,N/A,International,Dammam,OnSite,5 days ago,Bayt.com
Solar Site/Design Engineer,N/A,"$2,000 - $3,000",Mid career,International,Eastern Province,OnSite,5 days ago,Bayt.com
Sales Engineer – Diesel Generators (Rental & Services),N/A,"$1,500 - $2,000",Mid career,International,Eastern Province,OnSite,5 days ago,Bayt.com
مندوب مبيعات FMCG,N/A,N/A,Mid career,International,Jeddah,OnSite,5 days ago,Bayt.com
Sr. Cyber Security Analyst,Energy Tech,N/A,Entry level·3-5 ,Saudi nationals,Dammam,OnSite,5 days ago,Bayt.com
Quality Assurance Analyst,Energy Tech,N/A,Entry level,International,Dammam,OnSite,5 days ago,Bayt.com
Investment Associate,N/A,N/A,N/A,International,Riyadh,OnSite,5 days ago,Bayt.com
Chief Executive Officer (Investment),N/A,N/A,N/A,International,Riyadh,OnSite,5 days ago,Bayt.com
Property Director,N/A,N/A,N/A,International,Riyadh,OnSite,5 days ago,Bayt.com
Consultation Manager,N/A,N/A,N/A,International,Riyadh,OnSite,5 days ago,Bayt.com
Organizational Excellence Manager,N/A,N/A,N/A,International,Riyadh,OnSite,5 days ago,Bayt.com
Project Manager (PMO),N/A,N/A,N/A,International,Riyadh,OnSite,5 days ago,Bayt.com
E-commerce Marketer,N/A,N/A,N/A,International,Riyadh,OnSite,5 days ago,Bayt.com
مدير مشروع,N/A,N/A,Management·17-20 ,International,Riyadh,OnSite,5 days ago,Bayt.com
Accounts Receivable Accountant,N/A,N/A,N/A,International,Riyadh,,5 days ago,Bayt.com
Data Entry,Halwani Brothers Co.,N/A,N/A,International,Jeddah,OnSite,5 days ago,Bayt.com
OPD Manager,Job Care,N/A,N/A,International,Riyadh,OnSite,5 days ago,Bayt.com
Architect - مهندس معماري,Atheeb Intergraph Saudi Company,N/A,N/A,Saudi nationals,Riyadh,OnSite,5 days ago,Bayt.com
Warehouse Supervisor,GREEN POWER TRADING CO.,N/A,Mid career·1-5 ,International,Al-Selay,OnSite,5 days ago,Bayt.com
Technical Office Manger,شركة مرامر للمقاولات,N/A,N/A,International,An Nuzhah,OnSite,5 days ago,Bayt.com
Category Manager （Food/Fresh/Nonfood),Meituan,N/A,N/A,International,Riyadh,OnSite,5 days ago,Bayt.com
BigID Engineer / Consultant – Data Privacy & Governance (On-Prem),Strike IT Services Limited,N/A,N/A,International,Riyadh,OnSite,5 days ago,Bayt.com
Bodyshop Supervisor,Saudi Arabian Marketing and Agencies Co. (SAMACO),N/A,Mid career,International,Saudi Arabia,OnSite,5 days ago,Bayt.com
مدير مبيعات,مؤسسة رقمنة الإبداع التجارية,N/A,Mid career,International,Khobar,OnSite,5 days ago,Bayt.com
Social Media Content Officer (Female – Saudi National),Sharxell Power Company,"$5,000 - $6,000",Entry level,Saudi nationals,Riyadh,OnSite,5 days ago,Bayt.com
NDT Technician (Level II),jeddah,N/A,Mid career,International,Jeddah,,5 days ago,Bayt.com
Design Manager,Emcan Group,N/A,Management·15-20 ,International,Jeddah,OnSite,5 days ago,Bayt.com
Tailor,Kashtbanh,"$500 - $1,000",Mid career,International,Unaizah,OnSite,5 days ago,Bayt.com
HR Administrator,WIDE HORIZON COMPANY,"$1,000 - $1,500",Mid career,Saudi nationals,Dammam,OnSite,5 days ago,Bayt.com
مندوب مبيعات ملابس جاهزة,Modern Technical Fields Contracting Co.,N/A,Mid career,International,Riyadh,,5 days ago,Bayt.com
أخصائي بصريات,شركه توافر الطبيه,N/A,Mid career,International,Mecca,OnSite,5 days ago,Bayt.com
تسويق رقمي ومصمم جرافيك,لمسة حراير,N/A,Mid career·2-5 ,International,Al Yasamin,OnSite,5 days ago,Bayt.com
مشرف موقع البناء,شركة الكادي للتطوير العقاري,"$500 - $1,000",Entry level·2-4 ,International,Riyadh,OnSite,5 days ago,Bayt.com
مهندس كهرباء موقع,شركة رام كون,N/A,10-Jul,International,Medina,OnSite,5 days ago,Bayt.com
Kindergarten Teacher / Learning Specialist,MedKaf,N/A,Mid career,International,Irqah,OnSite,5 days ago,Bayt.com
محاسب مالي,عبداللطيف صالح الحسين,"$1,000 - $1,500",Mid career,International,Utayqah,OnSite,5 days ago,Bayt.com
